Date,real_interest_rate_pct_anual
1995,-84.09500018
1996,-93.51345888
1997,-29.52270655
1998,4.047558877
1999,-72.57850016
2000,-60.78132704
2001,-5.032933217
2002,-41.32946909
2003,0.774759816
2004,36.70039746
2005,19.68201666
2006,2.308273896
2007,11.90813343
2008,-5.772358566
2009,34.93969387
2010,-4.761941244
2011,-8.398047555
2012,8.910400009
2013,12.1812486
2014,11.81815371
2015,20.44380216
2016,-4.212861222
2017,-6.391178097
2018,-3.608117395
2019,-0.4759655393
2020,3.095126182
2021,-11.97942893
2022,1.689307337
2023,-0.8550652833
2024,-4.177558199